index,years,회사명,stock_code,전년도ESG,종합등급,매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,자산총계,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율,유보율,영업이익률,지배주주순이익률,ROA,ROE,EPS(원),BPS(원),DPS(원),PER,PBR,발행주식수,배당수익률,지속가능경영 보고서공시여부,매출액_상승률(퍼센트),영업이익_상승률,배당수익률_상승률,영업이익률_상승률,이사의 수,사외이사 수,사외이사 비율,녹색 기업 지정,총 임원 수,여성 임원 수 ,여성 임원 비율,남성 평균 연봉,여성 평균 연봉,남성 정규직 수,여성 정규직 수,남성 직원 수,여성 직원 수,직원 수,여성 직원 비율,남성 직원 비율,남성 정규직 비율,여성 정규직 비율,외국인 보유수량,외국인 지분율,시가총액,상장주식수,용수 사용량(Ton),에너지 총량(TJ),온실가스 배출총량(TonCo2eq),용수 사용량 등급,에너지 총량 등급,온실가스 배출총량 등급,GICS_Sector,GICS_Industry,RE100,high_carbon,sbti,자본비율,기업규모,N자산총계,N자본총계,N지배주주지분,N시가총액,N부채총계,N매출액,N남성 정규직 수,N남성 직원 수,N직원 수,N사외이사 수,N여성 정규직 수,N여성 직원 수,기업분류,상시근로자수,장애인고용의무인원,장애인근로자수,장애인고용률
2020-12-01 00:00:00,2020,진양홀딩스,100250,,C,2115,116,116,303,260,43,5480,1593,3887,3250,637,279,40.97,1069.27,5.48463357,12.31,5.71,8.23,466,5846,170,6.04,0.48,55895,6.04,0,-6.125166445,-13,-0.47,-0.241065498,1,1,1,0,6,0,0,40850443,0,4,0,4,0,4,0,100,1,,1550272,2.77,1.57345E+11,55895292,0,0,0,5,5,5,소재(Ma),Specialty Chemicals,,1,0,0.709306569,3,2,2,2,2,2,2,0,0,0,0,0,0,4,,,,
2021-12-01 00:00:00,2021,진양홀딩스,100250,C,D,2248,69,69,150,100,50,5661,1760,3900,3252,648,279,45.14,1070.06,3.069395018,4.45,2.69,3.08,179,5850,170,20.48,0.63,55895,4.64,0,6.288416076,-47,-1.4,-2.415238552,1,1,1,0,6,0,0,43000646,0,4,0,4,0,4,0,100,1,,2053698,3.67,2.04856E+11,55895292,0,0,0,5,5,5,소재(Ma),Specialty Chemicals,,1,0,0.688924218,3,2,2,2,2,2,2,0,0,0,0,0,0,4,,,,
2022-12-01 00:00:00,2022,진양홀딩스,100250,D,C,2346,52,52,279,245,34,5971,1945,4026,3349,677,279,48.3,1122.5,2.216538789,10.43,4.8,7.41,438,6112,200,6.91,0.49,55895,6.61,0,4.359430605,-17,1.97,-0.852856228,1,1,1,0,6,0,0,43516129,0,4,0,4,0,4,0,100,1,,1090948,1.95,1.69083E+11,55895292,0,0,0,5,5,5,소재(Ma),Specialty Chemicals,,1,0,0.674258918,3,2,2,2,2,2,2,0,0,0,0,0,0,4,,,,
2023-12-01 00:00:00,2023,진양홀딩스,100250,,,2711,35,35,382,361,21,6431,2163,4268,3587,681,279,50.69,1207.72,1.291036518,13.32,6.16,10.42,646,6539,200,4.97,0.49,55895,6.23,,15.55839727,-17,-0.38,-0.925502272,1,1,1,0,6,0,0,46708000,0,4,0,4,0,4,0,100,1,0,887751,1.59,1.79424E+11,55895292,0,0,0,5,5,5,소재(Ma),Specialty Chemicals,,1,0,0.663660395,3,2,2,2,2,2,2,0,0,0,0,0,0,4,,,,
2019-12-01 00:00:00,2019,SNT에너지,100840,,B+,2133,175,175,155,155,,3339,889,2450,2450,0,38,36.31,6551.09,8.204406939,7.24,5.03,6.49,747,12071,291,9.62,0.6,20681,4.05,0,0,-93,0,0,,,,0,11,0,0,,,,,,,,,,,,,,1.48633E+11,7506711,0,0,0,5,5,5,산업(In),Specialty Industrial Machinery,,0,0,0.733752621,3,2,2,2,2,2,2,,,,0,0,0,5,,,,
2020-12-01 00:00:00,2020,SNT에너지,100840,B+,B,2374,231,231,98,98,,3354,996,2358,2358,0,38,42.24,6571.17,9.730412805,4.12,2.92,4.07,473,12108,291,12,0.47,20681,5.12,0,11.29864041,56,1.07,1.526005867,3,1,0.333333333,0,4,0,0,62481000,49802000,184,7,185,7,192,3.645833333,96.35416667,0.994594595,1,176561,2.35,1.1748E+11,7506711,0,0,0,5,5,5,산업(In),Specialty Industrial Machinery,,0,0,0.703041145,3,2,2,2,2,2,2,1,1,1,0,1,0,5,,,,
2021-12-01 00:00:00,2021,SNT에너지,100840,B,C,1711,133,133,125,125,,3321,873,2448,2448,0,38,35.65,6802.3,7.773232028,7.31,3.75,5.2,605,12527,291,11.14,0.54,20681,4.32,0,-27.92754844,-98,-0.8,-1.957180777,4,1,0.25,0,5,0,0,66870000,54099000,180,7,180,7,187,3.743315508,96.25668449,1,1,387845,5.17,1.39249E+11,7506711,0,0,0,5,5,5,산업(In),Specialty Industrial Machinery,,0,0,0.737127371,3,2,2,2,2,1,1,1,1,1,0,1,0,5,,,,
2022-12-01 00:00:00,2022,SNT에너지,100840,C,D,2029,36,36,188,188,,4298,1706,2591,2591,0,38,65.85,7182.95,1.774273041,9.27,4.94,7.46,909,13218,291,7.44,0.51,20681,4.3,0,18.58562244,-97,-0.02,-5.998958987,4,1,0.25,0,5,0,0,72797000,56500000,169,7,170,7,177,3.95480226,96.04519774,0.994117647,1,170517,2.27,1.4E+11,7506711,0,0,0,5,5,5,산업(In),Specialty Industrial Machinery,,0,0,0.60283853,3,2,2,2,2,2,2,1,1,1,0,1,0,5,,,,
2023-12-01 00:00:00,2023,SNT에너지,100840,,,3220,208,208,227,227,,4232,1471,2760,2760,0,38,53.31,7632.62,6.459627329,7.06,5.33,8.49,1099,14034,327,7.27,0.57,20681,4.1,,58.69886644,172,-0.2,4.685354288,4,1,0.25,0,5,0,0,68678000,43507000,227,17,227,17,244,6.967213115,93.03278689,1,1,117039,1.56,1.65148E+11,7506711,0,0,0,5,5,5,산업(In),Specialty Industrial Machinery,,0,0,0.652173913,3,2,2,2,2,2,2,1,1,1,0,1,1,5,,,,
2019-12-01 00:00:00,2019,인바이오젠,101140,,C,98,-22,-22,131,131,,909,249,660,660,0,198,37.76,244.82,-22.44897959,133.98,22.78,29.38,7941,34468,0,7.52,1.73,1983,0,0,0,-93,0,0,,,,0,6,0,0,,,,,,,,,,,,,,1.1839E+11,39661591,0,0,0,5,5,5,임의소비재(Cd),Footwear & Accessories,,0,0,0.726072607,3,1,1,1,2,1,1,,,,0,0,0,5,,,,
